"ht_id","gr_no","formclass_id","dating_from","dating_to"
"9613","G0280.050","1083","6. Dynastie","6. Dynastie"
"9614","G0280.050","1083","6. Dynastie","6. Dynastie"
"9630","G0280.050","1083","Kakai Neferirkare I.","Kakai Neferirkare I."
"9648","G0280.050","1083","Kakai Neferirkare I.","Kakai Neferirkare I."
"9649","G0280.050","1083","Kakai Neferirkare I.","Kakai Neferirkare I."
"9667","G0280.050","1083","22.–23. Dynastie","22.–23. Dynastie"
"9668","G0280.050","1083","22.–23. Dynastie","22.–23. Dynastie"
"9684","G0280.100","1084","22.–23. Dynastie","22.–23. Dynastie"
"9685","G0280.100","1084","22.–23. Dynastie","22.–23. Dynastie"
"9686","G0280.050","1083","22.–23. Dynastie","22.–23. Dynastie"
"9687","G0280.050","1083","22.–23. Dynastie","22.–23. Dynastie"
"9693","G0280.100","1084","22.–23. Dynastie","22.–23. Dynastie"
"9694","G0280.100","1084","22.–23. Dynastie","22.–23. Dynastie"
"9718","G0280.100","1084","Apries Haaibre","Apries Haaibre"
"9719","G0280.100","1084","Apries Haaibre","Apries Haaibre"
"9735","G0280.100","1084","Dareios I. Setutre","Dareios I. Setutre"
"9736","G0280.100","1084","Dareios I. Setutre","Dareios I. Setutre"
"9760","G0280.100","1084","Argeaden („Makedonierzeit“)","Ptolemäerzeit"
"9761","G0280.100","1084","Argeaden („Makedonierzeit“)","Ptolemäerzeit"
"9917","G0280.100","1084","Alexander IV.","Alexander IV."
"9918","G0280.100","1084","Alexander IV.","Alexander IV."
"9919","G0280.100","1084","Alexander IV.","Alexander IV."
"9985","G0280.100","1084","Augustus","Augustus"
"9986","G0280.100","1084","Augustus","Augustus"
"10020","G0280.100","1084","Nero","Nero"
"10021","G0280.100","1084","Nero","Nero"
"10078","G0280.100","1084","Trajan","Antoninus Pius"
"10079","G0280.100","1084","Trajan","Antoninus Pius"
"10391","G0280.050","1083","Thutmosis III. Mencheperre (Gesamtzeitraum)","Thutmosis III. Mencheperre (Gesamtzeitraum)"
"10392","G0280.050","1083","Thutmosis III. Mencheperre (Gesamtzeitraum)","Thutmosis III. Mencheperre (Gesamtzeitraum)"
"10440","G0280.100","1084","20. Dynastie","20. Dynastie"
"10441","G0280.100","1084","20. Dynastie","20. Dynastie"
"10507","G0280.100","1084","20. Dynastie","20. Dynastie"
"10508","G0280.100","1084","20. Dynastie","20. Dynastie"
"10509","G0280.100","1084","20. Dynastie","20. Dynastie"
"10564","G0280.100","1084","Ramses IX. Neferkare-Setepenre","Ramses IX. Neferkare-Setepenre"
"10565","G0280.100","1084","Ramses IX. Neferkare-Setepenre","Ramses IX. Neferkare-Setepenre"
"10566","G0280.100","1084","Ramses IX. Neferkare-Setepenre","Ramses IX. Neferkare-Setepenre"
"10567","G0280.100","1084","Ramses IX. Neferkare-Setepenre","Ramses IX. Neferkare-Setepenre"
"10568","G0280.100","1084","Ramses IX. Neferkare-Setepenre","Ramses IX. Neferkare-Setepenre"
"10630","G0280.100","1084","Hadrian","Hadrian"
"10631","G0280.100","1084","Hadrian","Hadrian"
"10632","G0280.100","1084","Hadrian","Hadrian"
"10677","G0280.100","1084","Augustus","Augustus"
"10678","G0280.100","1084","Augustus","Augustus"
"10679","G0280.100","1084","Augustus","Augustus"
"10717","G0280.100","1084","Ptolemaios XIV.","Claudius"
"10718","G0280.100","1084","Ptolemaios XIV.","Claudius"
"10748","G0280.100","1084","Psusennes I. Aacheperre-Setepenamun","Psusennes I. Aacheperre-Setepenamun"
"10785","G0280.100","1084","13. Dynastie","17. Dynastie"
"10786","G0280.050","1083","13. Dynastie","17. Dynastie"
"10824","G0280.100","1084","Psusennes I. Aacheperre-Setepenamun","Psusennes I. Aacheperre-Setepenamun"
"10842","G0280.100","1084","20. Dynastie","20. Dynastie"
"11079","G0280.100","1084","Sethos I. Menmaatre","Sethos I. Menmaatre"
"11962","G0280.100","1084","18. Dynastie","18. Dynastie"
"11963","G0280.100","1084","18. Dynastie","18. Dynastie"
"11964","G0280.100","1084","18. Dynastie","18. Dynastie"
"11965","G0280.100","1084","18. Dynastie","18. Dynastie"
"11966","G0280.100","1084","18. Dynastie","18. Dynastie"
"11967","G0280.050","1083","18. Dynastie","18. Dynastie"
"11968","G0280.100","1084","18. Dynastie","18. Dynastie"
"12061","G0280.100","1084","18. Dynastie","18. Dynastie"
"12062","G0280.100","1084","18. Dynastie","18. Dynastie"
"12466","G0280.100","1084","Thutmosis III. Mencheperre (Gesamtzeitraum)","Thutmosis III. Mencheperre (Gesamtzeitraum)"
"12470","G0280.100","1084","Thutmosis III. Mencheperre (Gesamtzeitraum)","Thutmosis III. Mencheperre (Gesamtzeitraum)"
"12471","G0280.100","1084","Thutmosis III. Mencheperre (Gesamtzeitraum)","Thutmosis III. Mencheperre (Gesamtzeitraum)"
"12473","G0280.100","1084","Thutmosis III. Mencheperre (Gesamtzeitraum)","Thutmosis III. Mencheperre (Gesamtzeitraum)"
"12474","G0280.100","1084","Thutmosis III. Mencheperre (Gesamtzeitraum)","Thutmosis III. Mencheperre (Gesamtzeitraum)"
"12476","G0280.100","1084","Thutmosis III. Mencheperre (Gesamtzeitraum)","Thutmosis III. Mencheperre (Gesamtzeitraum)"
"12477","G0280.100","1084","Thutmosis III. Mencheperre (Gesamtzeitraum)","Thutmosis III. Mencheperre (Gesamtzeitraum)"
"12479","G0280.100","1084","Thutmosis III. Mencheperre (Gesamtzeitraum)","Thutmosis III. Mencheperre (Gesamtzeitraum)"
"12481","G0280.100","1084","Thutmosis III. Mencheperre (Gesamtzeitraum)","Thutmosis III. Mencheperre (Gesamtzeitraum)"
"12483","G0280.100","1084","Thutmosis III. Mencheperre (Gesamtzeitraum)","Thutmosis III. Mencheperre (Gesamtzeitraum)"
"12484","G0280.100","1084","Thutmosis III. Mencheperre (Gesamtzeitraum)","Thutmosis III. Mencheperre (Gesamtzeitraum)"
"13014","G0280.100","1084","Thutmosis III. Mencheperre (Gesamtzeitraum)","Thutmosis III. Mencheperre (Gesamtzeitraum)"
"13015","G0280.100","1084","Thutmosis III. Mencheperre (Gesamtzeitraum)","Thutmosis III. Mencheperre (Gesamtzeitraum)"
"13016","G0280.100","1084","Thutmosis III. Mencheperre (Gesamtzeitraum)","Thutmosis III. Mencheperre (Gesamtzeitraum)"
"13017","G0280.100","1084","Thutmosis III. Mencheperre (Gesamtzeitraum)","Thutmosis III. Mencheperre (Gesamtzeitraum)"
"13018","G0280.100","1084","Thutmosis III. Mencheperre (Gesamtzeitraum)","Thutmosis III. Mencheperre (Gesamtzeitraum)"
"13092","G0280.075","1229","Thutmosis IV. Mencheperure","Thutmosis IV. Mencheperure"
"13150","G0280.100","1084","17. Dynastie","Amenhotep I. Djeserkare"
"13182","G0280.100","1084","17. Dynastie","Amenhotep I. Djeserkare"
"14049","G0280.100","1084","Amenhotep III. Nebmaatre","Amenhotep III. Nebmaatre"
"14050","G0280.100","1084","Amenhotep III. Nebmaatre","Amenhotep III. Nebmaatre"
"14203","G0280.100","1084","Amenhotep III. Nebmaatre","Amenhotep III. Nebmaatre"
"14238","G0280.100","1084","18. Dynastie","18. Dynastie"
"14291","G0280.100","1084","Hatschepsut Maatkare","Hatschepsut Maatkare"
"14292","G0280.100","1084","Hatschepsut Maatkare","Hatschepsut Maatkare"
"14293","G0280.100","1084","Hatschepsut Maatkare","Hatschepsut Maatkare"
"14378","G0280.100","1084","18. Dynastie","18. Dynastie"
"14409","G0280.050","1083","18. Dynastie","18. Dynastie"
"14420","G0280.075","1229","18. Dynastie","18. Dynastie"
"14484","G0280.100","1084","Amenhotep III. Nebmaatre","Amenhotep III. Nebmaatre"
"14485","G0280.100","1084","Amenhotep III. Nebmaatre","Amenhotep III. Nebmaatre"
"14486","G0280.100","1084","Amenhotep III. Nebmaatre","Amenhotep III. Nebmaatre"
"14487","G0280.100","1084","Amenhotep III. Nebmaatre","Amenhotep III. Nebmaatre"
"14488","G0280.100","1084","Amenhotep III. Nebmaatre","Amenhotep III. Nebmaatre"
"14489","G0280.100","1084","Amenhotep III. Nebmaatre","Amenhotep III. Nebmaatre"
"14595","G0280.150","1085","Ramses III. Usermaatre-Meriamun","Ramses III. Usermaatre-Meriamun"
"14596","G0280.150","1085","Ramses III. Usermaatre-Meriamun","Ramses III. Usermaatre-Meriamun"
"14597","G0280.150","1085","Ramses III. Usermaatre-Meriamun","Ramses III. Usermaatre-Meriamun"
"14598","G0280.150","1085","Ramses III. Usermaatre-Meriamun","Ramses III. Usermaatre-Meriamun"
"14653","G0280.100","1084","Ramses III. Usermaatre-Meriamun","Ramses III. Usermaatre-Meriamun"
"14654","G0280.150","1085","Ramses III. Usermaatre-Meriamun","Ramses III. Usermaatre-Meriamun"
"14674","G0280.100","1084","Sethos I. Menmaatre","Sethos I. Menmaatre"
"14728","G0280.100","1084","Sethos I. Menmaatre","Sethos I. Menmaatre"
"14768","G0280.100","1084","Sethos I. Menmaatre","Sethos I. Menmaatre"
"14795","G0280.100","1084","Sethos I. Menmaatre","Sethos I. Menmaatre"
"14830","G0280.100","1084","Sethos I. Menmaatre","Sethos I. Menmaatre"
"14831","G0280.100","1084","Sethos I. Menmaatre","Sethos I. Menmaatre"
"14832","G0280.100","1084","Sethos I. Menmaatre","Sethos I. Menmaatre"
"14878","G0280.100","1084","Sethos I. Menmaatre","Sethos I. Menmaatre"
"14879","G0280.100","1084","Sethos I. Menmaatre","Sethos I. Menmaatre"
"14977","G0280.100","1084","Ramses II. Usermaatre-Setepenre","Tausret Satre-Meritamun"
"14978","G0280.100","1084","Ramses II. Usermaatre-Setepenre","Tausret Satre-Meritamun"
"14979","G0280.100","1084","Ramses II. Usermaatre-Setepenre","Tausret Satre-Meritamun"
"14980","G0280.100","1084","Ramses II. Usermaatre-Setepenre","Tausret Satre-Meritamun"
"15005","G0280.150","1085","Ramses III. Usermaatre-Meriamun","Ramses III. Usermaatre-Meriamun"
"15007","G0280.150","1085","Ramses III. Usermaatre-Meriamun","Ramses III. Usermaatre-Meriamun"
"15008","G0280.100","1084","Ramses III. Usermaatre-Meriamun","Ramses III. Usermaatre-Meriamun"
"15049","G0280.100","1084","19. Dynastie","19. Dynastie"
"15050","G0280.100","1084","19. Dynastie","19. Dynastie"
"15150","G0280.100","1084","18. Dynastie","18. Dynastie"
"15151","G0280.100","1084","18. Dynastie","18. Dynastie"
"15240","G0280.100","1084","Amenhotep III. Nebmaatre","Amenhotep III. Nebmaatre"
"15241","G0280.100","1084","Amenhotep III. Nebmaatre","Amenhotep III. Nebmaatre"
"15242","G0280.100","1084","Amenhotep III. Nebmaatre","Amenhotep III. Nebmaatre"
"15243","G0280.100","1084","Amenhotep III. Nebmaatre","Amenhotep III. Nebmaatre"
"15244","G0280.100","1084","Amenhotep III. Nebmaatre","Amenhotep III. Nebmaatre"
"15245","G0280.100","1084","Amenhotep III. Nebmaatre","Amenhotep III. Nebmaatre"
"15256","G0280.100","1084","Amenhotep III. Nebmaatre","Amenhotep III. Nebmaatre"
"15264","G0280.100","1084","Amenhotep III. Nebmaatre","Amenhotep III. Nebmaatre"
"15308","G0280.100","1084","Ramses IV. Usermaatre-Setepenamun","Ramses IV. Usermaatre-Setepenamun"
"15309","G0280.100","1084","Ramses IV. Usermaatre-Setepenamun","Ramses IV. Usermaatre-Setepenamun"
"15374","G0280.100","1084","Sethos I. Menmaatre","Merenptah Baenre"
"15448","G0280.100","1084","19. Dynastie","19. Dynastie"
"15449","G0280.100","1084","19. Dynastie","19. Dynastie"
"16441","G0280.100","1084","Alexander der Große","Ptolemäerzeit"
"16686","G0280.100","1084","Alexander der Große","Ptolemäerzeit"
"16820","G0280.100","1084","Alexander der Große","Ptolemäerzeit"
"16913","G0280.100","1084","Ramses III. Usermaatre-Meriamun","Ramses III. Usermaatre-Meriamun"
"16914","G0280.100","1084","Ramses III. Usermaatre-Meriamun","Ramses III. Usermaatre-Meriamun"
"16986","G0280.100","1084","Ramses IV. Usermaatre-Setepenamun","Ramses IV. Usermaatre-Setepenamun"
"17074","G0280.100","1084","Ramses III. Usermaatre-Meriamun","Ramses III. Usermaatre-Meriamun"
"17140","G0280.100","1084","Ramses IV. Usermaatre-Setepenamun","Ramses VII. Usermaatre-Meriamun-Setepenre"
"17141","G0280.100","1084","Ramses IV. Usermaatre-Setepenamun","Ramses VII. Usermaatre-Meriamun-Setepenre"
"17142","G0280.100","1084","Ramses IV. Usermaatre-Setepenamun","Ramses VII. Usermaatre-Meriamun-Setepenre"
"17143","G0280.100","1084","Ramses IV. Usermaatre-Setepenamun","Ramses VII. Usermaatre-Meriamun-Setepenre"
"17198","G0280.100","1084","18. Dynastie","18. Dynastie"
"17199","G0280.075","1229","18. Dynastie","18. Dynastie"
"17200","G0280.100","1084","18. Dynastie","18. Dynastie"
"17259","G0280.100","1084","18. Dynastie","18. Dynastie"
"17293","G0280.050","1083","Mentuhotep II. Nebhepetre (Gesamtzeitraum)","Mentuhotep IV. Nebtawire"
"17297","G0280.050","1083","Mentuhotep II. Nebhepetre (Gesamtzeitraum)","Mentuhotep IV. Nebtawire"
"17301","G0280.050","1083","Mentuhotep II. Nebhepetre (Gesamtzeitraum)","Mentuhotep IV. Nebtawire"
"17313","G0280.050","1083","Mentuhotep II. Nebhepetre (Gesamtzeitraum)","Mentuhotep IV. Nebtawire"
"17315","G0280.025","1228","Mentuhotep II. Nebhepetre (Gesamtzeitraum)","Mentuhotep IV. Nebtawire"
"17374","G0280.050","1083","Mentuhotep II. Nebhepetre (Gesamtzeitraum)","Mentuhotep IV. Nebtawire"
"17375","G0280.050","1083","Mentuhotep II. Nebhepetre (Gesamtzeitraum)","Mentuhotep IV. Nebtawire"
"17376","G0280.050","1083","Mentuhotep II. Nebhepetre (Gesamtzeitraum)","Mentuhotep IV. Nebtawire"
