"Neues Reich, 18. Dynastie","Berlin, Ägyptisches Museum und Papyrussammlung, P. 3027"
"Neues Reich, 18. Dynastie","Paris, Musée du Louvre, AE/E 3230 a"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TN1"
"Neues Reich, 18. Dynastie","London, Petrie Museum of Egyptian Archaeology, 46303"
"Neues Reich, 18. Dynastie","London, Petrie Museum of Egyptian Archaeology, 46307"
"Neues Reich, 18. Dynastie","London, Petrie Museum of Egyptian Archaeology, 32557"
"Neues Reich, 18. Dynastie","Paris, Musée du Louvre, AE/E 3230 b"
"Neues Reich, 18. Dynastie","London, Petrie Museum of Egyptian Archaeology, 32265"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TN2"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TN5"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TN6"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TN8"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TN14a-e"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TN17"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TN28"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TN29"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TN37"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TN39"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TN40"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TN4"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TN7"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TN20"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TN22"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TN23"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TN24"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TN26"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TN31"
"Neues Reich, 18. Dynastie","London, Petrie Museum of Egyptian Archaeology, Amarna 71 (Petrie)"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TW4"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TW28"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TW30"
"Neues Reich, 18. Dynastie","London, Petrie Museum of Egyptian Archaeology, Amarna Inschrift 72"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TAS4"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TBN2"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TS1"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TS3"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TS5"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TS6"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TS10"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TS16"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TS18"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TS19"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TS20"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TS23"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TS24"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TS25"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TS26"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TS27"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TS31"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TS34"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TS42"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TN33"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TN30"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TS35"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TS2"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TS17"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TS22"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TAS3"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TBS1"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TN3"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TAN1"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TAN2"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TAN3"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TAN4"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TAS2"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TAS6"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TBS2"
"Neues Reich, 18. Dynastie","Assiut, Gebel Assiut al-gharbi, N13.1 TBS3"
